958,1024,-65
986,925,-129
945,946,-68
940,829,-116
990,898,-137
978,860,-129
938,763,-69
686,715,-88
930,695,-53
935,660,-58
931,518,-35
956,1037,-61
949,1050,-53
940,1060,-39
939,1061,-33
942,1079,-33
940,1099,-38
934,1118,-33
902,1122,-10
973,938,-117
930,935,-97
524,593,-40
774,749,-70
742,749,-84
711,746,-92
669,724,-91
801,745,-52
742,667,-100
777,674,-80
708,668,-107
683,676,-106
639,741,-89
776,1155,-34
674,705,-86
508,718,-34
602,719,-82
774,877,-91
925,1017,-81
918,1050,-67
880,1028,-88
846,1038,-83
883,1051,-74
854,1052,-69
758,1060,-57
963,924,-137
962,897,-147
645,655,-123
830,808,-72
855,905,-114
847,888,-109
672,865,-111
952,861,-137
737,637,-123
686,640,-129
585,549,-69
872,680,-76
805,688,-58
740,1032,-68
470,984,51
872,923,-93
897,933,-79
799,1055,-60
807,1056,-57
670,620,-125
843,915,-100
799,650,-106
799,626,-114
760,506,-94
634,586,-103
790,566,-106
624,640,-113
577,620,-79
922,1035,-77
883,1040,-82
851,1045,-78
876,928,-82
803,1056,-58
820,1064,-59
811,1056,-56
907,919,-124
854,1056,-61
882,1057,-61
912,1059,-55
862,1119,-26
897,1115,-51
905,1096,-55
910,1076,-51
911,1060,-49
853,1057,-56
848,1064,-58
840,1074,-62
832,1083,-61
797,985,-86
444,834,62
960,943,-85
831,1056,-56
826,1060,-57
906,944,-78
845,931,-73
902,939,-79
798,821,-79
752,837,-95
834,898,-96
663,519,-89
703,566,-111
730,614,-125
786,1084,-53
871,643,-90
864,576,-85
847,507,-74
684,737,-94
599,760,-90
819,741,-43
648,687,-103
855,794,-71
889,899,-130
564,782,-83
623,783,-102
667,799,-103
730,799,-86
775,790,-70
810,780,-60
910,766,-76
567,843,-88
621,683,-106
959,937,-124
839,839,-79
455,706,36
838,768,-53
821,897,-71
660,705,-88
878,878,-121
448,905,61
818,731,-39
917,867,-135
602,1078,-23
570,1106,15
495,840,-19
550,1031,-20
539,664,-52
759,1185,-24
948,942,-89
808,856,-80
569,721,-74
718,729,-87
746,733,-81
812,1068,-60
562,902,-72
805,1224,8
690,1182,3
635,1151,7
936,588,-49
865,1225,33
771,733,-69
795,732,-55
811,732,-44
594,675,-92
794,706,-61
768,694,-76
741,690,-88
713,691,-95
694,696,-94
483,642,0
699,722,-89
940,964,-61
832,971,-85
878,920,-101
901,965,-79
926,727,-52
653,1121,-20
703,1154,-20
821,1205,-19
514,1053,31
811,721,-48
896,810,-91
883,1207,7
747,1208,-2
495,905,-13
881,1058,-55
876,1070,-58
870,1086,-63
862,1102,-60
820,1105,-47
828,1053,-65
824,1050,-70
819,1046,-75
765,1006,-82
627,924,-94
883,778,-71
851,714,-39
827,713,-44
832,1056,-59
596,993,-57
884,719,-56
794,1127,-37
964,827,-108
925,800,-96
951,796,-87
874,851,-98
892,1179,-5
897,1147,-6
848,1145,-24
721,1070,-53
793,917,-78
752,1102,-45
723,908,-102
765,945,-88
684,952,-94
835,1176,-29
845,863,-89
682,1090,-42
726,1125,-33
703,1032,-71
558,952,-55
648,1033,-63
509,968,-12
733,981,-88
867,824,-85
900,914,-131
865,916,-110
927,898,-143
834,689,-59
787,667,-87
742,658,-107
701,658,-117
669,667,-116
635,712,-87
498,778,-29
657,756,-93
692,768,-91
735,772,-82
775,768,-66
806,762,-51
829,755,-43
446,769,55
858,922,-97
909,838,-110
935,920,-137
938,933,-119
925,923,-126
860,930,-83
948,935,-123
938,940,-93
831,733,-34
849,742,-37
862,749,-49
683,700,-91
665,688,-99
980,831,-83
1007,741,145
980,935,-72
1024,649,314
962,760,79
979,764,96
994,765,116
1001,750,155
951,752,64
1011,706,88
990,705,68
1024,711,111
1026,718,130
1004,770,175
949,1143,74
1008,735,158
1009,755,330
1004,752,215
1010,884,58
981,1017,-42
965,1050,-31
993,1023,-6
995,1034,27
974,1049,-4
977,1051,24
976,1056,85
1001,924,-116
1007,898,-122
1046,707,157
973,815,26
1013,906,-21
1008,889,-12
1042,878,137
995,862,-105
1050,688,69
1056,695,113
1037,608,249
985,699,-14
969,709,61
989,1029,103
941,980,381
997,922,-23
980,933,-44
984,1054,89
978,1055,73
1059,681,134
1005,916,-8
1028,688,26
1038,670,23
1024,547,88
1050,640,184
1026,603,53
1044,697,187
1042,673,247
975,1035,-39
985,1038,-6
987,1043,23
989,927,-26
981,1055,80
982,1062,57
976,1054,71
1004,919,-60
968,1056,27
964,1057,4
955,1059,-18
928,1117,8
958,1112,-12
963,1094,-15
960,1075,-11
954,1060,-11
967,1057,32
974,1064,31
980,1071,30
983,1080,38
998,984,42
952,854,431
970,1055,55
977,1059,54
971,943,-44
991,931,0
976,938,-45
986,829,51
1013,848,80
1003,900,2
1039,573,170
1045,616,120
1057,670,80
964,1079,63
1004,672,-21
989,595,-2
990,530,17
1000,760,138
1004,788,204
945,744,61
1023,727,167
965,800,6
1015,901,-54
1036,808,250
1012,809,174
1009,821,130
987,813,91
967,799,64
956,786,40
954,770,-43
1043,861,243
1025,726,191
984,937,-107
981,844,15
972,746,416
951,773,25
994,899,26
1008,737,168
1007,880,-45
948,913,414
944,734,70
1003,869,-79
974,1062,223
941,1086,265
1008,860,344
980,1021,271
1026,710,296
944,1170,92
969,942,-79
990,862,36
994,754,254
998,749,117
984,750,99
985,1066,65
1032,911,247
906,1213,72
934,1161,164
938,1129,210
968,747,84
955,740,76
947,737,73
1018,721,226
961,721,74
977,717,81
995,717,95
1008,721,114
1011,727,129
1002,692,373
1005,745,133
993,970,12
1002,920,-35
969,965,-38
963,1102,180
954,1135,137
923,1196,44
939,1039,327
950,728,71
974,814,-38
926,1191,116
999,915,335
962,1058,11
970,1069,11
975,1083,9
975,1098,15
949,1100,37
978,1052,52
985,1049,57
991,1044,61
997,1005,76
1033,930,175
959,783,-17
948,722,32
949,722,57
971,1055,52
1007,989,216
953,727,-14
946,1119,55
968,802,-68
988,855,-28
926,1140,20
980,1061,110
1002,920,45
963,1092,85
1028,915,90
1010,948,66
1025,955,126
928,1169,29
990,866,-1
979,1076,146
962,1110,112
997,1027,127
1016,954,251
1000,1024,166
988,968,318
1009,981,94
977,828,-9
1012,914,-62
1010,916,-31
1014,898,-87
971,706,38
1005,699,55
1028,700,78
1040,705,109
1038,714,138
1006,745,186
1009,807,343
1005,781,155
999,789,125
981,787,95
962,778,73
951,767,53
945,759,42
956,799,434
1002,922,-20
987,841,-55
1009,918,-94
989,931,-93
1001,922,-81
992,929,-18
988,935,-102
975,939,-75
941,736,56
940,746,29
947,754,5
1011,732,143
1020,726,151
743,707,-74
774,709,-74
745,682,-74
711,704,-74
741,732,-74
982,732,104
1002,733,104
984,711,104
962,730,104
980,753,104
