295,276,-18
286,251,-31
292,258,-17
288,232,-19
286,245,-33
289,238,-30
298,219,-14
274,217,31
301,207,-9
301,200,-9
305,170,0
295,279,-17
296,283,-15
296,285,-12
296,286,-12
296,290,-13
296,295,-14
296,299,-14
296,296,-9
288,255,-28
285,255,-18
269,197,72
286,221,17
281,222,20
277,221,24
273,219,33
290,220,15
278,207,19
284,208,16
273,208,24
271,210,28
270,222,37
281,303,6
273,215,34
268,220,73
267,219,46
275,246,10
289,274,-13
290,282,-11
282,277,-6
279,280,0
286,283,-6
282,283,0
277,284,11
282,251,-29
281,245,-30
266,207,33
286,231,5
276,249,-7
278,246,-5
265,244,26
284,238,-25
272,202,15
268,204,24
269,187,58
291,206,-1
289,210,15
274,279,15
276,273,80
280,253,-7
284,255,-12
276,285,12
278,285,9
266,201,29
278,252,-4
280,203,6
278,199,6
279,174,24
267,194,42
278,185,14
265,205,41
266,201,55
289,279,-13
284,280,-6
281,282,0
282,254,-8
277,285,10
279,287,5
279,285,9
280,251,-16
284,285,0
287,285,-3
291,285,-8
290,295,-6
288,298,-10
289,293,-10
290,289,-8
291,286,-8
284,285,0
282,286,0
280,288,-1
279,290,0
275,268,3
275,245,95
290,256,-21
282,285,5
280,286,4
286,257,-12
281,255,-2
285,256,-12
282,235,10
275,238,15
278,248,-2
272,179,41
271,188,28
271,198,18
280,288,5
288,200,-2
288,184,3
290,171,9
274,220,29
266,226,43
292,218,15
268,213,36
289,228,1
277,247,-15
264,230,53
267,230,36
271,232,26
279,231,18
285,229,13
289,226,9
293,221,-8
262,242,50
266,212,41
285,254,-27
284,237,2
274,220,94
292,224,6
280,249,3
271,216,36
279,243,-12
275,258,90
293,216,17
281,240,-20
270,287,42
275,294,51
266,244,74
269,279,53
267,210,66
280,309,10
288,256,-20
281,241,6
266,220,55
277,218,25
281,218,21
277,288,6
263,253,50
289,320,6
279,309,27
277,303,38
302,184,-5
300,323,-1
285,218,19
289,217,17
292,217,17
266,212,49
289,213,17
285,212,18
280,212,21
276,212,25
274,214,28
270,207,85
275,217,29
293,263,-16
278,264,-1
280,252,-10
286,263,-12
301,213,-9
273,296,31
276,302,21
287,315,0
275,285,67
292,215,17
288,229,-8
297,318,-7
283,315,16
267,256,70
287,285,-3
285,287,-4
284,291,-5
283,294,-4
284,292,0
280,284,5
278,284,6
277,283,7
274,273,10
264,257,33
291,224,-3
294,213,9
293,213,14
282,285,5
266,271,41
296,213,-1
283,297,3
292,231,-24
290,227,-15
295,226,-19
283,238,-7
296,311,-10
296,303,-9
289,301,-4
274,285,16
277,253,6
278,292,10
269,252,15
273,259,10
267,261,22
287,308,-3
282,241,-1
272,289,24
276,296,15
270,278,20
265,263,50
268,278,29
268,268,65
271,267,15
286,233,-2
278,250,-17
277,251,-9
279,246,-22
290,209,10
282,206,13
275,206,17
270,207,23
268,209,29
270,217,40
267,232,74
271,225,33
274,226,26
280,226,20
286,225,16
290,223,12
293,221,10
275,232,97
279,253,-7
285,235,-13
280,250,-24
284,254,-23
281,251,-21
281,254,-6
284,254,-25
286,256,-19
294,217,14
295,218,8
295,220,2
273,215,31
270,213,32
298,233,-25
353,217,-11
297,256,-23
391,198,6
333,221,-9
339,222,-12
346,223,-13
357,219,-11
328,219,-6
343,206,-14
336,206,-11
350,207,-15
355,209,-15
363,224,-10
323,309,-12
357,215,-10
392,225,6
373,220,-7
332,249,-17
304,275,-20
303,283,-17
313,278,-21
319,282,-19
310,284,-18
316,285,-16
329,289,-14
292,252,-33
293,246,-34
365,206,-17
321,233,-12
315,252,-24
317,248,-23
354,250,-18
295,239,-31
344,200,-19
356,202,-20
379,187,0
313,206,-12
330,208,-6
334,284,-15
392,284,19
310,255,-20
305,256,-18
326,288,-13
325,288,-13
361,198,-18
317,255,-21
330,201,-17
330,196,-18
344,172,-9
369,193,-10
336,184,-14
371,203,-14
380,202,-4
303,279,-20
311,281,-20
317,283,-18
309,256,-18
325,288,-13
322,289,-15
324,287,-13
304,253,-28
315,286,-15
309,286,-15
303,285,-14
305,297,-12
305,299,-17
304,294,-17
303,290,-15
303,286,-15
315,286,-15
317,288,-16
318,290,-17
319,293,-17
324,272,-19
402,253,27
320,287,-14
321,288,-15
302,259,-18
316,258,-15
303,258,-18
328,237,-13
338,242,-16
319,251,-20
364,178,-6
354,187,-13
347,195,-19
322,292,-15
314,198,-15
319,184,-11
325,170,-7
353,222,-13
370,229,-10
325,217,-4
364,212,-13
316,229,-12
308,249,-29
379,236,-8
363,234,-14
353,236,-16
339,234,-13
330,230,-11
324,227,-9
304,221,-14
377,249,-10
370,212,-13
292,255,-30
319,239,-15
402,225,24
319,224,-8
322,252,-14
360,215,-10
311,245,-26
399,268,24
326,215,-2
302,241,-30
363,299,-3
368,307,5
392,252,7
375,290,0
387,213,2
326,317,-10
293,256,-21
325,244,-15
381,221,-4
345,219,-12
339,219,-11
324,290,-15
376,262,-8
314,324,-5
341,319,-2
354,314,0
334,218,-9
330,216,-6
327,216,-3
377,210,-9
332,212,-7
338,211,-10
343,211,-12
349,212,-13
353,213,-12
398,210,16
350,218,-11
317,267,-19
309,254,-22
302,264,-19
351,307,-5
340,312,-7
312,319,-11
381,297,12
328,214,-4
307,230,-18
328,323,-5
390,266,6
310,286,-15
311,289,-16
312,293,-18
313,296,-18
314,295,-15
321,286,-15
322,286,-16
323,285,-17
329,278,-18
362,264,-15
310,225,-13
319,212,-3
325,212,-3
319,287,-14
366,280,-8
310,213,-8
319,302,-13
301,227,-20
311,240,-20
307,304,-12
337,293,-13
327,257,-15
329,298,-13
342,257,-19
332,264,-17
349,268,-17
310,311,-14
317,244,-18
346,298,-10
335,305,-10
342,285,-15
376,273,-5
354,287,-12
385,279,5
338,273,-18
313,235,-16
305,252,-29
312,254,-24
300,247,-32
323,208,-7
333,205,-12
343,204,-16
352,205,-18
359,208,-17
366,218,-9
393,238,6
358,227,-12
349,228,-13
340,228,-12
332,225,-9
326,223,-6
322,221,-5
403,239,27
314,255,-21
304,236,-23
298,252,-32
296,255,-28
300,253,-29
313,257,-18
294,255,-29
296,256,-22
323,216,-2
318,218,-3
314,220,-7
355,214,-11
359,212,-13
282,215,23
288,215,23
283,210,23
277,215,23
282,219,23
343,214,-9
350,215,-9
344,209,-9
337,214,-9
343,220,-9
